t_s,bpm
950.65,3000.0
950.67,3000.0
950.692,2727.2727272727275
950.714,2727.2727272727275
950.732,3333.3333333333335
950.75,3333.3333333333335
950.77,3000.0
950.81,1500.0
950.83,3000.0
950.852,2727.2727272727275
950.872,3000.0
950.892,3000.0
950.908,3750.0
950.912,15000.0
950.932,3000.0
950.95,3333.3333333333335
950.972,2727.2727272727275
950.988,3750.0
951.01,2727.2727272727275
951.03,3000.0
951.052,2727.2727272727275
951.07,3333.3333333333335
951.09,3000.0
951.112,2727.2727272727275
951.148,1666.6666666666667
951.194,1304.3478260869565
951.212,3333.3333333333335
951.232,3000.0
951.248,3750.0
951.268,3000.0
951.29,2727.2727272727275
951.31,3000.0
951.332,2727.2727272727275
951.352,3000.0
951.372,3000.0
951.392,3000.0
951.41,3333.3333333333335
951.43,3000.0
951.45,3000.0
951.47,3000.0
951.488,3333.3333333333335
951.51,2727.2727272727275
951.532,2727.2727272727275
951.552,3000.0
951.57,3333.3333333333335
951.59,3000.0
951.612,2727.2727272727275
951.632,3000.0
951.642,6000.0
951.648,10000.0
951.672,2500.0
951.692,3000.0
951.71,3333.3333333333335
951.73,3000.0
951.752,2727.2727272727275
951.77,3333.3333333333335
951.794,2500.0
951.852,1034.4827586206895
951.87,3333.3333333333335
951.892,2727.2727272727275
951.91,3333.3333333333335
951.93,3000.0
951.952,2727.2727272727275
951.968,3750.0
951.99,2727.2727272727275
952.012,2727.2727272727275
952.03,3333.3333333333335
952.052,2727.2727272727275
952.07,3333.3333333333335
952.09,3000.0
952.112,2727.2727272727275
952.128,3750.0
952.152,2500.0
952.17,3333.3333333333335
952.19,3000.0
952.21,3000.0
952.23,3000.0
952.252,2727.2727272727275
952.272,3000.0
952.29,3333.3333333333335
952.308,3333.3333333333335
952.33,2727.2727272727275
952.35,3000.0
952.372,2727.2727272727275
952.39,3333.3333333333335
952.412,2727.2727272727275
952.43,3333.3333333333335
952.458,2142.8571428571427
952.492,1764.705882352941
952.53,1578.9473684210527
952.55,3000.0
952.568,3333.3333333333335
952.592,2500.0
952.608,3750.0
952.63,2727.2727272727275
952.65,3000.0
952.67,3000.0
952.69,3000.0
952.71,3000.0
952.73,3000.0
952.75,3000.0
952.77,3000.0
952.79,3000.0
952.81,3000.0
952.832,2727.2727272727275
952.85,3333.3333333333335
952.868,3333.3333333333335
952.892,2500.0
952.91,3333.3333333333335
952.928,3333.3333333333335
952.952,2500.0
952.97,3333.3333333333335
952.992,2727.2727272727275
953.012,3000.0
953.03,3333.3333333333335
953.05,3000.0
953.07,3000.0
953.09,3000.0
953.11,3000.0
953.148,1578.9473684210527
953.17,2727.2727272727275
953.188,3333.3333333333335
953.21,2727.2727272727275
953.232,2727.2727272727275
953.25,3333.3333333333335
953.26,6000.0
953.27,6000.0
953.288,3333.3333333333335
953.308,3000.0
953.33,2727.2727272727275
953.35,3000.0
953.368,3333.3333333333335
953.39,2727.2727272727275
953.41,3000.0
953.432,2727.2727272727275
953.448,3750.0
953.47,2727.2727272727275
953.488,3333.3333333333335
953.508,3000.0
953.53,2727.2727272727275
953.55,3000.0
953.57,3000.0
953.59,3000.0
953.61,3000.0
953.628,3333.3333333333335
953.638,6000.0
953.652,4285.714285714285
953.672,3000.0
953.688,3750.0
953.696,7500.0
953.708,5000.0
953.728,3000.0
953.766,1578.9473684210527
953.792,2307.6923076923076
953.812,3000.0
953.832,3000.0
953.852,3000.0
953.868,3750.0
953.89,2727.2727272727275
953.908,3333.3333333333335
953.932,2500.0
953.948,3750.0
953.964,3750.0
953.99,2307.6923076923076
954.034,1363.6363636363637
954.052,3333.3333333333335
954.06,7500.0
954.07,6000.0
954.092,2727.2727272727275
954.11,3333.3333333333335
954.126,3750.0
954.13,15000.0
954.15,3000.0
954.19,1500.0
954.21,3000.0
954.228,3333.3333333333335
954.252,2500.0
954.272,3000.0
954.29,3333.3333333333335
954.31,3000.0
954.328,3333.3333333333335
954.352,2500.0
954.37,3333.3333333333335
954.388,3333.3333333333335
954.412,2500.0
954.428,3750.0
954.47,1428.5714285714284
954.492,2727.2727272727275
954.51,3333.3333333333335
954.528,3333.3333333333335
954.55,2727.2727272727275
954.568,3333.3333333333335
954.588,3000.0
954.61,2727.2727272727275
954.63,3000.0
954.65,3000.0
954.668,3333.3333333333335
954.69,2727.2727272727275
954.71,3000.0
954.728,3333.3333333333335
954.752,2500.0
954.77,3333.3333333333335
954.784,4285.714285714285
954.808,2500.0
954.832,2500.0
954.848,3750.0
954.868,3000.0
954.884,3750.0
954.912,2142.8571428571427
954.924,5000.0
954.948,2500.0
954.968,3000.0
954.988,3000.0
955.01,2727.2727272727275
955.032,2727.2727272727275
955.05,3333.3333333333335
955.068,3333.3333333333335
955.09,2727.2727272727275
955.108,3333.3333333333335
955.152,1363.6363636363637
955.172,3000.0
955.188,3750.0
955.208,3000.0
955.228,3000.0
955.25,2727.2727272727275
955.27,3000.0
955.29,3000.0
955.31,3000.0
955.328,3333.3333333333335
955.344,3750.0
955.348,15000.0
955.368,3000.0
955.392,2500.0
955.41,3333.3333333333335
955.428,3333.3333333333335
955.448,3000.0
955.47,2727.2727272727275
955.488,3333.3333333333335
955.508,3000.0
955.53,2727.2727272727275
955.548,3333.3333333333335
955.57,2727.2727272727275
955.59,3000.0
955.61,3000.0
955.628,3333.3333333333335
955.65,2727.2727272727275
955.67,3000.0
955.69,3000.0
955.708,3333.3333333333335
955.73,2727.2727272727275
955.748,3333.3333333333335
955.77,2727.2727272727275
955.792,2727.2727272727275
955.81,3333.3333333333335
955.83,3000.0
955.852,2727.2727272727275
955.87,3333.3333333333335
955.888,3333.3333333333335
955.91,2727.2727272727275
955.928,3333.3333333333335
955.948,3000.0
955.97,2727.2727272727275
955.99,3000.0
956.008,3333.3333333333335
956.03,2727.2727272727275
956.05,3000.0
956.07,3000.0
956.09,3000.0
956.11,3000.0
956.128,3333.3333333333335
956.15,2727.2727272727275
956.17,3000.0
956.19,3000.0
956.21,3000.0
956.23,3000.0
956.252,2727.2727272727275
956.27,3333.3333333333335
956.29,3000.0
956.308,3333.3333333333335
956.33,2727.2727272727275
956.352,2727.2727272727275
956.372,3000.0
956.39,3333.3333333333335
956.414,2500.0
956.424,6000.0
956.45,2307.6923076923076
956.474,2500.0
956.508,1764.705882352941
956.53,2727.2727272727275
956.552,2727.2727272727275
956.57,3333.3333333333335
956.592,2727.2727272727275
956.614,2727.2727272727275
956.63,3750.0
956.652,2727.2727272727275
956.67,3333.3333333333335
956.688,3333.3333333333335
956.702,4285.714285714285
956.71,7500.0
956.73,3000.0
956.75,3000.0
956.77,3000.0
956.79,3000.0
956.81,3000.0
956.83,3000.0
956.848,3333.3333333333335
956.87,2727.2727272727275
956.89,3000.0
956.91,3000.0
956.926,3750.0
956.948,2727.2727272727275
956.968,3000.0
956.988,3000.0
957.01,2727.2727272727275
957.03,3000.0
957.048,3333.3333333333335
957.07,2727.2727272727275
957.088,3333.3333333333335
957.108,3000.0
957.13,2727.2727272727275
957.166,1666.6666666666667
957.188,2727.2727272727275
957.21,2727.2727272727275
957.226,3750.0
957.248,2727.2727272727275
957.27,2727.2727272727275
957.288,3333.3333333333335
957.306,3333.3333333333335
957.33,2500.0
